Spot;Dateiname;Koordinaten
Altenheim Wilten;Skate_AltenheimWilten;47.2582, 11.3954
Asfinag Ledge;Skate_AsfinagLedge;47.2732, 11.3967
BTV/Sparkassenplatz;Skate_BTV3;47.2661, 11.3956
Chrisuskirche;Skate_Christuskirche1;47.276, 11.4014
Congress Wallie;Skate_CongressWall;47.2704, 11.3954
Hauptuni;Skate_Hauptuni1;47.2644, 11.3858
Hšrtnagl;Skate_Ho_rtnaglSet3;47.2758, 11.405
HotelCentral;Skate_Hotel2;47.2661, 11.3964
Ischia;Skate_Ischia1;47.2639, 11.4038
Ischia Gap;Skate_IschiaGap;47.2645, 11.4038
Kletterhalle;Skate_Klettercurbs;47.2763, 11.4144
Landestheater;Skate_LandestheaterLedge;47.27, 11.3956
Landhausplatz;Skate_LHP5;47.2642, 11.3967
Landesmuseum;Skate_Museum3;47.2673, 11.3973
Rapoldipark;Skate_Rapoldipark1;47.2655, 11.4055
Rapoldipark Curb;Skate_RapoldiparkCurb;47.2660, 11.4065
Reichenau Skatepark;Skate_ReichenauPark2;47.2743, 11.4283
Skatehalle Innsbruck;Skate_Skatehalle;47.2767, 11.4146
Tivoli Curbs;Skate_Tivoli5;47.2595, 11.4062
Tivoli Bank;Skate_TivoliBank2;47.2588, 11.4087
Tivoli Skatepark;Skate_TivoliPark1;47.2588, 11.4071
Tivoli Wallride;Skate_TivoliWallride;47.2599, 11.4104
Wilten Wallie;Skate_WiltenWallie;47.2588, 11.3930
Dreiheiligenwelle;Surf_Dreiheiligenwelle;47.2693, 11.4071
Sillwelle;Surf_Sillwelle2;47.2777, 11.4172